Catalog Scan Log: 5/19/2014 - 16:9
 
Catalogs with incorrect CRC in Catalog DESC file:
 
Packages in Catalogs with incorrect CRC values:
PackageID	Package Name	Title	Released	Category	Setup	Language	Valid	XML2 Path	CRC from Catalog	CRC Actual	Comment	
w1vdo49us17_732	VDO_W1VD_732	AMD Discrete VGA Driver - 7 [32]	8/1/2013 12:00:00 AM	Video	%PACKAGEPATH%\Bin\ATISetup.exe -Noui -Install -Output -log "%SystemDrive%\AMDinstall.log"		no	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/w1vdo49us17_732_2_.xml	fdf3f48a272c5468f327046fc1c3c74a465005049330047d5f144e3efac4b173	64e11f670372c38bb2c2e1d6aa7a07a70f22c7850bf912f82a2cb57d4fd2304a	10AC_Win7.xml	
w1vdo49us17_764	VDO_W1VD_764	AMD Discrete VGA Driver - 7 [64]	8/1/2013 12:00:00 AM	Video	%PACKAGEPATH%\Bin64\ATISetup.exe -Noui -Install -Output -log "%SystemDrive%\AMDinstall.log"		no	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/w1vdo49us17_764_2_.xml	3a78a3f27ba7c2843487e9614920f83060eab1a985f35a8be50fc742d8defe18	92e70d5d3c6170ff76f35f0633e9da64316e6bb19619f4994aff7ba800bb94d3	10AC_Win7.xml	
 
Down level packages:
Package ID	Package Name	Released	Catalog found in	Package XML2 URL
w1vdo49us17_732	VDO_W1VD_732	8/1/2013	http://download.lenovo.com/catalog/10AC_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/w1vdo49us17_732_2_.xml
w1vdo60us17_732	VDO_W1VD_732	5/28/2013	http://download.lenovo.com/catalog/10AC_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/w1vdo60us17_732_2_.xml
w1vdo49us17_764	VDO_W1VD_764	8/1/2013	http://download.lenovo.com/catalog/10AC_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/w1vdo49us17_764_2_.xml
w1vdo60us17_764	VDO_W1VD_764	5/28/2013	http://download.lenovo.com/catalog/10AC_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/w1vdo60us17_764_2_.xml
w1vdo49us17_732	VDO_W1VD_732	8/1/2013	http://download.lenovo.com/catalog/10AD_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/w1vdo49us17_732_2_.xml
w1vdo60us17_732	VDO_W1VD_732	5/28/2013	http://download.lenovo.com/catalog/10AD_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/w1vdo60us17_732_2_.xml
w1vdo49us17_764	VDO_W1VD_764	8/1/2013	http://download.lenovo.com/catalog/10AD_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/w1vdo49us17_764_2_.xml
w1vdo60us17_764	VDO_W1VD_764	5/28/2013	http://download.lenovo.com/catalog/10AD_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/w1vdo60us17_764_2_.xml
w1vdo49us17_732	VDO_W1VD_732	8/1/2013	http://download.lenovo.com/catalog/10AE_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/w1vdo49us17_732_2_.xml
w1vdo60us17_732	VDO_W1VD_732	5/28/2013	http://download.lenovo.com/catalog/10AE_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/w1vdo60us17_732_2_.xml
w1vdo49us17_764	VDO_W1VD_764	8/1/2013	http://download.lenovo.com/catalog/10AE_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/w1vdo49us17_764_2_.xml
w1vdo60us17_764	VDO_W1VD_764	5/28/2013	http://download.lenovo.com/catalog/10AE_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/w1vdo60us17_764_2_.xml
w1vdo49us17_732	VDO_W1VD_732	8/1/2013	http://download.lenovo.com/catalog/10AF_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/w1vdo49us17_732_2_.xml
w1vdo60us17_732	VDO_W1VD_732	5/28/2013	http://download.lenovo.com/catalog/10AF_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/w1vdo60us17_732_2_.xml
w1vdo49us17_764	VDO_W1VD_764	8/1/2013	http://download.lenovo.com/catalog/10AF_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/w1vdo49us17_764_2_.xml
w1vdo60us17_764	VDO_W1VD_764	5/28/2013	http://download.lenovo.com/catalog/10AF_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/thinkcentre_drivers/w1vdo60us17_764_2_.xml
gfvv10ew_w78	AUTOSCROLL_GEVV	4/28/2014	http://download.lenovo.com/catalog/3351_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/gfvv10ew_w78_2_.xml
gfvv09ew_w78	AUTOSCROLL_GEVV	12/24/2013	http://download.lenovo.com/catalog/3351_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/gfvv09ew_w78_2_.xml
gfvv10ew_w78	AUTOSCROLL_GEVV	4/28/2014	http://download.lenovo.com/catalog/3352_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/gfvv10ew_w78_2_.xml
gfvv09ew_w78	AUTOSCROLL_GEVV	12/24/2013	http://download.lenovo.com/catalog/3352_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/gfvv09ew_w78_2_.xml
gfvv10ew_w78	AUTOSCROLL_GEVV	4/28/2014	http://download.lenovo.com/catalog/3353_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/gfvv10ew_w78_2_.xml
gfvv09ew_w78	AUTOSCROLL_GEVV	12/24/2013	http://download.lenovo.com/catalog/3353_Win7.xml	http://download.lenovo.com/ibmdl/pub/pc/pccbbs/mobiles/gfvv09ew_w78_2_.xml
